Date,Open,High,Low,Close,Adj Close,Volume
2020-12-21,30072.23242,30908.41602,28541.39844,29308.00195,29308.00195,58932888435
2020-12-22,29296.38086,30671.72656,28883.39648,30662.86328,30662.86328,56949381724
2020-12-23,30661.50586,30946.13672,29302.53906,29851.39258,29851.39258,65692590665
2020-12-24,29849.92578,30595.91211,29249.96484,30529.53516,30529.53516,52838689354
2020-12-25,30526.47266,31813.01953,30170.29688,31754.68359,31754.68359,54160956231
2020-12-26,31770.42383,34398.17969,31571.73633,34036.36328,34036.36328,62225866761
2020-12-27,34039.37109,36420.46875,33309.85156,33737.04297,33737.04297,85368828343
2020-12-28,33747.99219,35146.53125,33659.10156,34786.04688,34786.04688,63005439053
2020-12-29,34782.19922,35090.63281,33332.53125,35085.89453,35085.89453,58042939241
2020-12-30,35082.88672,36903.19922,35082.88672,36777.83984,36777.83984,65401490499
2020-12-31,36778.62891,37299.79297,35876.46094,36919.1875,36919.1875,59519070252
2021-01-01,36909.375,37681.74609,36666.96484,37393.08984,37393.08984,51849388517
2021-01-02,37396.02344,42206.63281,37033.21875,40898.17188,40898.17188,86393019962
2021-01-03,40900.89453,44056.86719,40802.76172,41711.19141,41711.19141,1.00E+11
2021-01-04,41747.99219,42467.90625,36399.62891,40865.0625,40865.0625,1.04E+11
2021-01-05,40871.61328,43642.41406,38539.41797,43089.99219,43089.99219,85625353050
2021-01-06,43116.84766,46711.30859,42464.96094,46641.22266,46641.22266,95360542812
2021-01-07,46653.26953,51054.82422,46275.97266,49945.90625,49945.90625,1.08E+11
2021-01-08,49959.51172,53271.73047,46712.90234,51769.02734,51769.02734,1.12E+11
2021-01-09,51757.64453,52579,49463.22266,51079.39844,51079.39844,78652324066
2021-01-10,51078.98047,52558.49609,45680.50391,48817.73828,48817.73828,1.02E+11
2021-01-11,48805.125,48805.125,39024.97266,45432.59766,45432.59766,1.58E+11
2021-01-12,45368.35156,46613.71875,41735.20703,43108.24609,43108.24609,95019563596
2021-01-13,43098.28125,47769.20703,41439.48438,47383.30469,47383.30469,88076935594
2021-01-14,47394.41406,50571.69141,46788.23438,49563.34766,49563.34766,80460231874
2021-01-15,49524.62109,50045.81641,44171.77734,46905.53516,46905.53516,86308842375
2021-01-16,46900.80078,48228.94531,45387.49219,46081.14453,46081.14453,73502044976
2021-01-17,46062.6875,46767.01563,43282.6875,45711.00781,45711.00781,66871649765
2021-01-18,45712.23438,47679.49219,44586.64453,46701.33203,46701.33203,63124697454
2021-01-19,46716.83203,48073.70703,45888.94531,45888.94531,45888.94531,72827553846
2021-01-20,45863.89063,46274.6875,42417.20703,44892.29297,44892.29297,84403577912
2021-01-21,44894.375,44877.08203,38235.89063,38992.07422,38992.07422,95682504823
2021-01-22,38981.85938,43016.28125,36645.44531,42028.71484,42028.71484,98313810634
2021-01-23,42003.23828,42481.03516,40102.60156,40834.13281,40834.13281,61573714469
2021-01-24,40829.97656,41950.07813,39630.69531,41094.10938,41094.10938,61908127615
2021-01-25,41089.55469,44272.91797,40894.73047,41229.37891,41229.37891,76298845055
2021-01-26,41219.46875,41623.23438,39430.96484,41341.23438,41341.23438,76482809027
2021-01-27,41333.84766,41333.84766,37628.26172,39009.80859,39009.80859,80213709506
2021-01-28,39020.69531,40929.13672,38501.85156,40608.72266,40608.72266,1.01E+11
2021-01-29,44033.32813,49034.34766,41269.4375,43844.33203,43844.33203,1.51E+11
2021-01-30,43818.20313,44506.56641,42086.03125,43794.73438,43794.73438,83248000113
2021-01-31,43796.46875,43818.77344,41242.89844,42390.84766,42390.84766,67532936483
2021-02-01,42391.12891,44329.98438,41421.04688,43093.59375,43093.59375,78896444828
2021-02-02,43088.48438,45982.50781,43037.96484,45408.60547,45408.60547,80674213180
2021-02-03,45409.28516,47901.06641,45314.42188,47908.06641,47908.06641,78201777016
2021-02-04,47911.92188,49334.30859,46619.60938,47359.33984,47359.33984,88287928121
2021-02-05,47366.37109,48924.76172,46981.02734,48683.76953,48683.76953,74789005140
2021-02-06,48676.21484,52132.65234,48676.21484,50115.40625,50115.40625,91033773381
2021-02-07,50095.21484,50536.26563,47761.25781,49642.26953,49642.26953,83581307123
2021-02-08,49621.07031,58859.64844,48601,58850.13672,58850.13672,1.29E+11
2021-02-09,58835.52344,61124.00391,57497.17969,59023.47266,59023.47266,1.17E+11
2021-02-10,59009.07031,59886.60938,55743.76563,57035,57035,1.11E+11
2021-02-11,57010.27344,61538.18359,56164.94531,60845.80859,60845.80859,1.03E+11
2021-02-12,60804.79297,61926.87109,59115.98828,60319.28516,60319.28516,97205763558
2021-02-13,60301.95313,61013.42969,58911.23828,59816.94141,59816.94141,89207541748
2021-02-14,59828.35938,62841.87891,59828.35938,61818.58594,61818.58594,90409225214
2021-02-15,61792.25391,62015.52344,58749.41406,60583.375,60583.375,97385529641
2021-02-16,60582.61719,63618.46875,59591.55078,62545.23828,62545.23828,97949128144
2021-02-17,62554.65234,66718.64844,62404.3125,66229.13281,66229.13281,1.03E+11
2021-02-18,66218.92969,66615.98438,64744.51563,65537.26563,65537.26563,66012729214
2021-02-19,65532.42969,70822.71875,64735.26563,70533.61719,70533.61719,80134491885
2021-02-20,70532.60938,72546.86719,68915.22656,70772.35156,70772.35156,85968905096
2021-02-21,70733.30469,73588.10156,70233.78125,72505.5625,72505.5625,65395680020
2021-02-22,72496.48438,72516.46094,61916.44922,68363.28906,68363.28906,1.16E+11
2021-02-23,68360.27344,68360.27344,57144,61493.78125,61493.78125,1.34E+11
2021-02-24,61507.20703,64520.53125,59430.22656,62195.53906,62195.53906,79701250480
2021-02-25,62200.23047,64832.51953,59404.51563,59404.51563,59404.51563,68754963834
2021-02-26,59513.76953,61433.89453,56119.03516,59028.46875,59028.46875,4.47E+11
